feature,family,first_included_tier,source,units,description,calculation_from_raw_data,implementation,F0,F1,F2,F3,F4,F5,F6,F7,F8
coach_career_mean_sp_defense,coaching,F4,cfbd_coaches,source_defined,Coach history ending strictly before the target season/game.,mean prior-season coach SP+ defense; forward-filled within team-season,src/gridiron_ml/pipeline/pre_processing/parquet_loader.py; src/gridiron_ml/fingerprints/builders/v0.py,,,,,X,X,X,,X
coach_career_mean_sp_offense,coaching,F4,cfbd_coaches,source_defined,Coach history ending strictly before the target season/game.,mean prior-season coach SP+ offense; forward-filled within team-season,src/gridiron_ml/pipeline/pre_processing/parquet_loader.py; src/gridiron_ml/fingerprints/builders/v0.py,,,,,X,X,X,,X
coach_career_seasons,coaching,F4,cfbd_coaches,seasons,Pre-target-game head-coach career experience.,number of distinct prior coach-seasons; forward-filled within team-season,src/gridiron_ml/pipeline/pre_processing/parquet_loader.py; src/gridiron_ml/fingerprints/builders/v0.py,,,,,X,X,X,,X
defense_db_havoc_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_db_havoc_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_drives,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_drives; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_front_seven_havoc_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_front_seven_havoc_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_havoc_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_havoc_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_passing_downs_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_passing_downs_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_passing_downs_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_passing_downs_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_passing_downs_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_passing_downs_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_passing_plays_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_passing_plays_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_passing_plays_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_passing_plays_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_passing_plays_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_passing_plays_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_plays,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_plays; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_power_success,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_power_success; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_rushing_plays_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_rushing_plays_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_rushing_plays_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_rushing_plays_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_rushing_plays_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_rushing_plays_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_standard_downs_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_standard_downs_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_stuff_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_stuff_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
defense_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game defensive allowed-rate summary.,CFBD per-game advanced statistic defense_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
games_played,sample_size,F0,derived_game_history,games,Completed games contributing to the as-of team state.,cumulative count of completed team-games in the team-season,src/gridiron_ml/fingerprints/builders/v0.py,X,X,X,X,X,X,X,,X
graph_colley_edge_next,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,"team Colley rating minus next opponent Colley rating, both fit using games through week w",src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
graph_colley_rating,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,"Colley rating r from C*r=b, with C_ii=2+games_i, C_ij=-meetings_ij, b_i=1+(wins_i-losses_i)/2",src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
graph_games_played,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,count of graph edges incident on the team through week w,src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
graph_loss_quality,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,mean current Colley rating of opponents already lost to,src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
graph_pagerank_z,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,"z-score of PageRank on the directed weighted loser-to-winner graph; damping=0.85 and margin weight=1+min(|margin|,35)/14",src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
graph_schedule_strength,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,mean current Colley rating of opponents already faced,src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
graph_unique_opponents,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,count of distinct graph neighbors through week w,src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
graph_win_quality,schedule_graph,F6,derived_historical_games,source_defined,Weekly schedule-graph fingerprint built from prior games only.,mean current Colley rating of opponents already beaten,src/gridiron_ml/fingerprints/ladder.py,,,,,,,X,,X
market_over_under,market,F7,cfbd_lines,points,Game total captured at the declared prediction cutoff.,raw market value captured at the declared pregame prediction cutoff,src/gridiron_ml/td_run/market.py,,,,,,,,X,X
market_spread_close,market,F7,cfbd_lines,points,Home-team spread captured at the declared prediction cutoff.,raw market value captured at the declared pregame prediction cutoff,src/gridiron_ml/td_run/market.py,,,,,,,,X,X
